frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
0,0.0,42.67,93.8,5.05,117.2,4.88,46.9,3.48,164.1,3.28,140.6,2.59
1,10.67,53.33,93.8,7.1,70.3,6.51,46.9,5.31,164.1,2.93,468.8,2.07
2,21.33,64.0,93.8,9.39,70.3,7.76,117.2,5.92,140.6,5.24,46.9,5.19
3,32.0,74.67,93.8,10.37,140.6,7.92,164.1,7.03,46.9,5.45,70.3,4.65
4,42.67,85.33,140.6,10.13,70.3,8.87,46.9,8.42,164.1,7.88,93.8,7.88
5,53.33,96.0,140.6,10.85,46.9,9.72,164.1,7.32,93.8,5.99,70.3,4.84
6,64.0,106.67,140.6,13.13,164.1,10.98,93.8,8.55,70.3,8.15,117.2,5.92
7,74.67,117.33,164.1,13.5,140.6,13.23,93.8,10.2,70.3,8.94,117.2,5.57
8,85.33,128.0,164.1,10.29,46.9,9.71,93.8,7.82,140.6,7.79,70.3,7.25
9,96.0,138.67,46.9,8.55,164.1,7.22,70.3,6.65,93.8,6.35,140.6,6.11
10,106.67,149.33,93.8,11.29,140.6,7.88,117.2,5.69,46.9,5.51,70.3,5.06
11,117.33,160.0,93.8,13.1,140.6,11.9,70.3,11.86,164.1,9.43,46.9,8.18
12,128.0,170.67,164.1,18.31,140.6,15.57,93.8,12.91,46.9,10.48,117.2,9.41
13,138.67,181.33,164.1,15.74,46.9,13.46,140.6,12.84,93.8,12.76,70.3,10.48
14,149.33,192.0,46.9,17.76,140.6,10.42,23.4,9.57,70.3,9.56,164.1,9.0
15,160.0,202.67,46.9,16.33,70.3,11.37,164.1,10.63,93.8,9.64,23.4,9.57
16,170.67,213.33,93.8,15.92,46.9,9.93,70.3,8.61,23.4,7.76,164.1,7.55
17,181.33,224.0,93.8,15.84,70.3,12.46,46.9,10.24,117.2,7.86,23.4,6.31
18,192.0,234.67,93.8,15.89,46.9,11.92,117.2,8.4,23.4,6.0,140.6,5.76
19,202.67,245.33,93.8,18.64,70.3,15.4,46.9,10.62,117.2,8.69,187.5,6.98
20,213.33,256.0,93.8,20.7,117.2,14.35,164.1,14.31,140.6,13.99,187.5,10.92
21,224.0,266.67,164.1,20.72,93.8,19.07,140.6,16.07,117.2,12.07,187.5,11.39
22,234.67,277.33,93.8,21.78,187.5,17.5,117.2,12.96,164.1,12.11,70.3,10.31
23,245.33,288.0,93.8,23.29,164.1,17.98,70.3,16.99,140.6,14.89,187.5,14.06
24,256.0,298.67,140.6,20.96,164.1,20.25,46.9,19.01,93.8,17.9,70.3,12.2
25,266.67,309.33,46.9,25.23,164.1,25.08,93.8,21.83,70.3,20.02,187.5,17.67
26,277.33,320.0,93.8,24.64,187.5,24.31,46.9,23.73,70.3,21.62,164.1,20.5
27,288.0,330.67,187.5,23.97,93.8,23.75,46.9,20.24,164.1,19.97,117.2,13.98
28,298.67,341.33,93.8,24.09,70.3,23.22,187.5,17.14,46.9,14.12,164.1,10.59
29,309.33,352.0,93.8,17.96,117.2,10.74,187.5,7.91,46.9,6.8,70.3,6.09
30,320.0,362.67,93.8,20.78,140.6,13.9,117.2,11.56,164.1,9.93,70.3,9.75
31,330.67,373.33,93.8,26.33,164.1,25.57,70.3,23.48,140.6,21.02,117.2,16.21
32,341.33,384.0,46.9,20.87,164.1,20.85,93.8,18.61,187.5,18.19,140.6,16.57
