frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
0,0.0,42.67,93.8,100.0,117.2,96.49,46.9,68.96,164.1,65.01,140.6,51.21
1,10.67,53.33,93.8,100.0,70.3,91.77,46.9,74.86,164.1,41.29,468.8,29.12
2,21.33,64.0,93.8,100.0,70.3,82.65,117.2,62.98,140.6,55.78,46.9,55.29
3,32.0,74.67,93.8,100.0,140.6,76.43,164.1,67.8,46.9,52.54,70.3,44.81
4,42.67,85.33,140.6,100.0,70.3,87.54,46.9,83.11,164.1,77.8,93.8,77.74
5,53.33,96.0,140.6,100.0,46.9,89.53,164.1,67.45,93.8,55.2,70.3,44.61
6,64.0,106.67,140.6,100.0,164.1,83.63,93.8,65.13,70.3,62.03,117.2,45.11
7,74.67,117.33,164.1,100.0,140.6,97.97,93.8,75.55,70.3,66.24,117.2,41.27
8,85.33,128.0,164.1,100.0,46.9,94.41,93.8,76.06,140.6,75.76,70.3,70.5
9,96.0,138.67,46.9,100.0,164.1,84.46,70.3,77.78,93.8,74.3,140.6,71.53
10,106.67,149.33,93.8,100.0,140.6,69.78,117.2,50.34,46.9,48.78,70.3,44.79
11,117.33,160.0,93.8,100.0,140.6,90.83,70.3,90.59,164.1,71.99,46.9,62.46
12,128.0,170.67,164.1,100.0,140.6,85.06,93.8,70.55,46.9,57.24,117.2,51.39
13,138.67,181.33,164.1,100.0,46.9,85.49,140.6,81.59,93.8,81.03,70.3,66.55
14,149.33,192.0,46.9,100.0,140.6,58.66,23.4,53.89,70.3,53.83,164.1,50.68
15,160.0,202.67,46.9,100.0,70.3,69.64,164.1,65.07,93.8,59.05,23.4,58.6
16,170.67,213.33,93.8,100.0,46.9,62.37,70.3,54.08,23.4,48.74,164.1,47.43
17,181.33,224.0,93.8,100.0,70.3,78.68,46.9,64.65,117.2,49.64,23.4,39.82
18,192.0,234.67,93.8,100.0,46.9,75.0,117.2,52.84,23.4,37.74,140.6,36.22
19,202.67,245.33,93.8,100.0,70.3,82.63,46.9,56.99,117.2,46.6,187.5,37.46
20,213.33,256.0,93.8,100.0,117.2,69.32,164.1,69.13,140.6,67.59,187.5,52.74
21,224.0,266.67,164.1,100.0,93.8,92.05,140.6,77.58,117.2,58.24,187.5,55.0
22,234.67,277.33,93.8,100.0,187.5,80.37,117.2,59.49,164.1,55.61,70.3,47.35
23,245.33,288.0,93.8,100.0,164.1,77.21,70.3,72.94,140.6,63.93,187.5,60.37
24,256.0,298.67,140.6,100.0,164.1,96.58,46.9,90.67,93.8,85.39,70.3,58.2
25,266.67,309.33,46.9,100.0,164.1,99.43,93.8,86.55,70.3,79.37,187.5,70.06
26,277.33,320.0,93.8,100.0,187.5,98.65,46.9,96.31,70.3,87.72,164.1,83.21
27,288.0,330.67,187.5,100.0,93.8,99.09,46.9,84.45,164.1,83.34,117.2,58.31
28,298.67,341.33,93.8,100.0,70.3,96.35,187.5,71.15,46.9,58.6,164.1,43.94
29,309.33,352.0,93.8,100.0,117.2,59.78,187.5,44.06,46.9,37.88,70.3,33.91
