PAs de fort :
[23:52:21] RMS: 0.00424 | EXP COMBINÉ: 0.00% | (CSV: 4.6% , Hilbert: 0.03 , Centroid: 420.7Hz) | Statut: Aucun Match
[23:52:26] RMS: 0.00873 | EXP COMBINÉ: 0.00% | (CSV: 4.7% , Hilbert: 0.10 , Centroid: 398.7Hz) | Statut: Aucun Match
[23:52:32] RMS: 0.00915 | EXP COMBINÉ: 0.00% | (CSV: 6.1% , Hilbert: 0.39 , Centroid: 594.8Hz) | Statut: Aucun Match
[23:52:37] RMS: 0.01140 | EXP COMBINÉ: 0.00% | (CSV: 6.1% , Hilbert: 0.39 , Centroid: 594.8Hz) | Statut: Aucun Match
[23:52:42] RMS: 0.00805 | EXP COMBINÉ: 0.00% | (CSV: 4.6% , Hilbert: 0.27 , Centroid: 593.7Hz) | Statut: Aucun Match
[23:52:47] RMS: 0.01277 | EXP COMBINÉ: 0.00% | (CSV: 4.6% , Hilbert: 0.26 , Centroid: 349.6Hz) | Statut: Aucun Match
[23:52:52] RMS: 0.02163 | EXP COMBINÉ: 0.00% | (CSV: 6.9% , Hilbert: 0.27 , Centroid: 531.6Hz) | Statut: Aucun Match
[23:52:57] RMS: 0.02203 | EXP COMBINÉ: 0.00% | (CSV: 7.4% , Hilbert: 0.53 , Centroid: 303.8Hz) | Statut: Aucun Match
[23:53:02] RMS: 0.02622 | EXP COMBINÉ: 0.00% | (CSV: 7.4% , Hilbert: 0.53 , Centroid: 303.8Hz) | Statut: Aucun Match
[23:53:07] RMS: 0.02717 | EXP COMBINÉ: 0.00% | (CSV: 8.1% , Hilbert: 0.62 , Centroid: 258.8Hz) | Statut: Aucun Match
[23:53:13] RMS: 0.02664 | EXP COMBINÉ: 0.00% | (CSV: 8.3% , Hilbert: 0.72 , Centroid: 252.6Hz) | Statut: Aucun Match
[23:53:18] RMS: 0.02165 | EXP COMBINÉ: 0.00% | (CSV: 8.3% , Hilbert: 0.72 , Centroid: 252.6Hz) | Statut: Aucun Match
[23:53:23] RMS: 0.00867 | EXP COMBINÉ: 0.00% | (CSV: 5.9% , Hilbert: 0.70 , Centroid: 382.7Hz) | Statut: Aucun Match
[23:53:28] RMS: 0.01189 | EXP COMBINÉ: 0.00% | (CSV: 5.4% , Hilbert: 0.38 , Centroid: 576.3Hz) | Statut: Aucun Match
