frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
0,0.0,85.33,93.8,10.95,82.0,8.74,152.3,7.27,46.9,7.09,140.6,5.99
1,2.67,88.0,93.8,11.11,82.0,9.0,152.3,8.04,46.9,7.51,140.6,6.69
2,5.33,90.67,93.8,11.23,82.0,9.03,152.3,8.78,46.9,7.92,140.6,7.38
3,8.0,93.33,93.8,11.3,152.3,9.49,82.0,8.82,46.9,8.33,140.6,8.04
4,10.67,96.0,93.8,11.29,152.3,10.15,46.9,8.71,140.6,8.69,82.0,8.39
5,13.33,98.67,93.8,11.22,152.3,10.78,140.6,9.31,46.9,9.05,82.0,7.75
6,16.0,101.33,152.3,11.37,93.8,11.11,140.6,9.89,46.9,9.31,82.0,6.9
7,18.67,104.0,152.3,11.97,93.8,11.0,140.6,10.42,46.9,9.49,58.6,7.01
8,21.33,106.67,152.3,12.55,140.6,10.93,93.8,10.91,46.9,9.58,58.6,7.45
9,24.0,109.33,152.3,13.13,140.6,11.41,93.8,10.83,46.9,9.58,58.6,7.74
10,26.67,112.0,152.3,13.71,140.6,11.86,93.8,10.77,46.9,9.48,58.6,7.84
11,29.33,114.67,152.3,14.28,140.6,12.24,93.8,10.71,46.9,9.32,58.6,7.71
12,32.0,117.33,152.3,14.82,140.6,12.55,93.8,10.65,46.9,9.1,58.6,7.34
13,34.67,120.0,152.3,15.31,140.6,12.78,93.8,10.61,46.9,8.85,70.3,7.45
14,37.33,122.67,152.3,15.74,140.6,12.9,93.8,10.58,46.9,8.58,70.3,7.73
15,40.0,125.33,152.3,16.09,140.6,12.88,93.8,10.59,46.9,8.35,70.3,7.96
16,42.67,128.0,152.3,16.36,140.6,12.72,93.8,10.6,46.9,8.18,70.3,8.13
17,45.33,130.67,152.3,16.53,140.6,12.39,93.8,10.62,164.1,8.72,70.3,8.24
18,48.0,133.33,152.3,16.58,140.6,11.91,93.8,10.63,164.1,9.49,70.3,8.29
19,50.67,136.0,152.3,16.51,140.6,11.29,93.8,10.63,164.1,10.11,82.0,8.37
20,53.33,138.67,152.3,16.32,93.8,10.63,164.1,10.55,140.6,10.54,46.9,8.22
21,56.0,141.33,152.3,16.02,164.1,10.79,93.8,10.66,140.6,9.65,46.9,8.39
22,58.67,144.0,152.3,15.63,164.1,10.82,93.8,10.75,140.6,8.65,46.9,8.61
23,61.33,146.67,152.3,15.16,93.8,10.9,164.1,10.64,46.9,8.89,70.3,7.83
24,64.0,149.33,152.3,14.64,93.8,11.08,164.1,10.22,46.9,9.18,70.3,7.61
25,66.67,152.0,152.3,14.11,93.8,11.26,164.1,9.57,46.9,9.48,70.3,7.41
26,69.33,154.67,152.3,13.61,93.8,11.45,46.9,9.78,164.1,8.67,70.3,7.24
27,72.0,157.33,152.3,13.18,93.8,11.67,46.9,10.02,164.1,7.52,70.3,7.08
28,74.67,160.0,152.3,12.88,93.8,11.93,46.9,10.22,70.3,6.95,105.5,6.92
29,77.33,162.67,152.3,12.71,93.8,12.24,46.9,10.38,70.3,6.83,105.5,6.78
30,80.0,165.33,152.3,12.69,93.8,12.62,46.9,10.5,82.0,6.75,140.6,6.73
31,82.67,168.0,93.8,13.06,152.3,12.86,46.9,10.59,82.0,8.14,140.6,7.96
32,85.33,170.67,93.8,13.57,152.3,13.23,46.9,10.72,82.0,9.3,140.6,9.13
33,88.0,173.33,93.8,14.08,152.3,13.78,46.9,10.9,82.0,10.25,140.6,10.2
34,90.67,176.0,93.8,14.58,152.3,14.45,46.9,11.15,140.6,11.12,82.0,11.0
35,93.33,178.67,152.3,15.2,93.8,15.03,140.6,11.85,82.0,11.58,46.9,11.48
36,96.0,181.33,152.3,16.02,93.8,15.39,140.6,12.36,82.0,11.98,46.9,11.92
37,98.67,184.0,152.3,16.83,93.8,15.67,140.6,12.66,46.9,12.48,82.0,12.19
38,101.33,186.67,152.3,17.59,93.8,15.85,46.9,13.15,140.6,12.78,82.0,12.22
39,104.0,189.33,152.3,18.28,93.8,15.95,46.9,13.91,164.1,13.14,140.6,12.7
40,106.67,192.0,152.3,18.86,93.8,15.96,46.9,14.75,164.1,13.91,140.6,12.43
41,109.33,194.67,152.3,19.3,93.8,15.88,46.9,15.63,164.1,14.35,140.6,12.0
42,112.0,197.33,152.3,19.58,46.9,16.52,93.8,15.74,164.1,14.5,140.6,11.47
43,114.67,200.0,152.3,19.64,46.9,17.34,93.8,15.57,164.1,14.38,140.6,10.9
44,117.33,202.67,152.3,19.5,46.9,18.04,93.8,15.39,164.1,14.04,58.6,10.57
45,120.0,205.33,152.3,19.17,46.9,18.62,93.8,15.23,164.1,13.5,35.2,11.16
46,122.67,208.0,46.9,19.02,152.3,18.68,93.8,15.13,164.1,12.82,35.2,11.81
47,125.33,210.67,46.9,19.25,152.3,18.04,93.8,15.11,35.2,12.41,58.6,12.09
48,128.0,213.33,46.9,19.32,152.3,17.25,93.8,15.18,35.2,12.89,58.6,12.27
49,130.67,216.0,46.9,19.25,152.3,16.36,93.8,15.33,35.2,13.26,58.6,12.19
50,133.33,218.67,46.9,19.05,93.8,15.53,152.3,15.4,35.2,13.49,58.6,11.81
51,136.0,221.33,46.9,18.72,93.8,15.8,152.3,14.43,35.2,13.61,58.6,11.14
52,138.67,224.0,46.9,18.28,93.8,16.14,35.2,13.61,152.3,13.49,58.6,10.18
53,141.33,226.67,46.9,17.76,93.8,16.53,35.2,13.5,152.3,12.64,58.6,8.96
54,144.0,229.33,46.9,17.18,93.8,16.98,35.2,13.28,152.3,11.86,82.0,9.98
55,146.67,232.0,93.8,17.5,46.9,16.61,35.2,12.97,152.3,11.14,82.0,11.0
56,149.33,234.67,93.8,18.09,46.9,16.06,35.2,12.59,82.0,11.75,152.3,10.49
57,152.0,237.33,93.8,18.73,46.9,15.57,82.0,12.24,35.2,12.15,152.3,9.87
58,154.67,240.0,93.8,19.36,46.9,15.16,82.0,12.49,35.2,11.65,105.5,9.87
59,157.33,242.67,93.8,19.99,46.9,14.82,82.0,12.5,35.2,11.12,105.5,10.14
60,160.0,245.33,93.8,20.64,46.9,14.5,82.0,12.28,35.2,10.61,105.5,10.31
61,162.67,248.0,93.8,21.32,46.9,14.23,82.0,11.9,105.5,10.38,35.2,10.08
62,165.33,250.67,93.8,22.02,46.9,14.01,82.0,11.45,105.5,10.44,35.2,9.53
