frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
0,0.0,85.33,93.8,100.0,82.0,79.77,152.3,66.39,46.9,64.75,140.6,54.68
1,2.67,88.0,93.8,100.0,82.0,81.02,152.3,72.34,46.9,67.57,140.6,60.23
2,5.33,90.67,93.8,100.0,82.0,80.35,152.3,78.17,46.9,70.53,140.6,65.67
3,8.0,93.33,93.8,100.0,152.3,83.98,82.0,78.02,46.9,73.69,140.6,71.19
4,10.67,96.0,93.8,100.0,152.3,89.93,46.9,77.16,140.6,76.98,82.0,74.31
5,13.33,98.67,93.8,100.0,152.3,96.07,140.6,83.0,46.9,80.71,82.0,69.11
6,16.0,101.33,152.3,100.0,93.8,97.66,140.6,86.96,46.9,81.84,82.0,60.69
7,18.67,104.0,152.3,100.0,93.8,91.91,140.6,87.12,46.9,79.27,58.6,58.6
8,21.33,106.67,152.3,100.0,140.6,87.09,93.8,86.9,46.9,76.32,58.6,59.37
9,24.0,109.33,152.3,100.0,140.6,86.93,93.8,82.51,46.9,72.93,58.6,58.98
10,26.67,112.0,152.3,100.0,140.6,86.5,93.8,78.57,46.9,69.18,58.6,57.21
11,29.33,114.67,152.3,100.0,140.6,85.72,93.8,75.0,46.9,65.29,58.6,53.99
12,32.0,117.33,152.3,100.0,140.6,84.71,93.8,71.88,46.9,61.45,58.6,49.51
13,34.67,120.0,152.3,100.0,140.6,83.46,93.8,69.28,46.9,57.78,70.3,48.66
14,37.33,122.67,152.3,100.0,140.6,81.93,93.8,67.24,46.9,54.52,70.3,49.13
15,40.0,125.33,152.3,100.0,140.6,80.04,93.8,65.78,46.9,51.89,70.3,49.46
16,42.67,128.0,152.3,100.0,140.6,77.75,93.8,64.82,46.9,50.0,70.3,49.72
17,45.33,130.67,152.3,100.0,140.6,74.97,93.8,64.27,164.1,52.75,70.3,49.87
18,48.0,133.33,152.3,100.0,140.6,71.83,93.8,64.1,164.1,57.24,70.3,49.99
19,50.67,136.0,152.3,100.0,140.6,68.38,93.8,64.38,164.1,61.22,82.0,50.67
20,53.33,138.67,152.3,100.0,93.8,65.11,164.1,64.65,140.6,64.58,46.9,50.34
21,56.0,141.33,152.3,100.0,164.1,67.36,93.8,66.52,140.6,60.24,46.9,52.35
22,58.67,144.0,152.3,100.0,164.1,69.24,93.8,68.76,140.6,55.34,46.9,55.12
23,61.33,146.67,152.3,100.0,93.8,71.89,164.1,70.16,46.9,58.64,70.3,51.63
24,64.0,149.33,152.3,100.0,93.8,75.7,164.1,69.84,46.9,62.71,70.3,52.02
25,66.67,152.0,152.3,100.0,93.8,79.83,164.1,67.82,46.9,67.18,70.3,52.54
26,69.33,154.67,152.3,100.0,93.8,84.15,46.9,71.84,164.1,63.71,70.3,53.19
27,72.0,157.33,152.3,100.0,93.8,88.53,46.9,76.01,164.1,57.07,70.3,53.71
28,74.67,160.0,152.3,100.0,93.8,92.58,46.9,79.3,70.3,53.95,105.5,53.74
29,77.33,162.67,152.3,100.0,93.8,96.29,46.9,81.63,70.3,53.74,105.5,53.36
30,80.0,165.33,152.3,100.0,93.8,99.38,46.9,82.69,82.0,53.14,140.6,53.01
31,82.67,168.0,93.8,100.0,152.3,98.48,46.9,81.12,82.0,62.31,140.6,60.97
32,85.33,170.67,93.8,100.0,152.3,97.56,46.9,79.02,82.0,68.53,140.6,67.3
33,88.0,173.33,93.8,100.0,152.3,97.83,46.9,77.4,82.0,72.76,140.6,72.39
34,90.67,176.0,93.8,100.0,152.3,99.06,46.9,76.43,140.6,76.23,82.0,75.42
35,93.33,178.67,152.3,100.0,93.8,98.84,140.6,77.91,82.0,76.14,46.9,75.48
36,96.0,181.33,152.3,100.0,93.8,96.1,140.6,77.15,82.0,74.78,46.9,74.42
37,98.67,184.0,152.3,100.0,93.8,93.11,140.6,75.23,46.9,74.16,82.0,72.43
38,101.33,186.67,152.3,100.0,93.8,90.12,46.9,74.73,140.6,72.62,82.0,69.48
39,104.0,189.33,152.3,100.0,93.8,87.26,46.9,76.11,164.1,71.9,140.6,69.46
40,106.67,192.0,152.3,100.0,93.8,84.61,46.9,78.22,164.1,73.74,140.6,65.9
41,109.33,194.67,152.3,100.0,93.8,82.27,46.9,80.98,164.1,74.34,140.6,62.17
42,112.0,197.33,152.3,100.0,46.9,84.37,93.8,80.41,164.1,74.05,140.6,58.59
43,114.67,200.0,152.3,100.0,46.9,88.25,93.8,79.26,164.1,73.2,140.6,55.48
44,117.33,202.67,152.3,100.0,46.9,92.53,93.8,78.91,164.1,71.98,58.6,54.2
45,120.0,205.33,152.3,100.0,46.9,97.12,93.8,79.45,164.1,70.44,35.2,58.22
46,122.67,208.0,46.9,100.0,152.3,98.19,93.8,79.54,164.1,67.41,35.2,62.1
47,125.33,210.67,46.9,100.0,152.3,93.71,93.8,78.48,35.2,64.45,58.6,62.78
48,128.0,213.33,46.9,100.0,152.3,89.29,93.8,78.55,35.2,66.73,58.6,63.51
49,130.67,216.0,46.9,100.0,152.3,84.98,93.8,79.61,35.2,68.86,58.6,63.32
50,133.33,218.67,46.9,100.0,93.8,81.56,152.3,80.87,35.2,70.84,58.6,62.03
51,136.0,221.33,46.9,100.0,93.8,84.43,152.3,77.1,35.2,72.71,58.6,59.52
52,138.67,224.0,46.9,100.0,93.8,88.29,35.2,74.49,152.3,73.84,58.6,55.73
53,141.33,226.67,46.9,100.0,93.8,93.08,35.2,76.02,152.3,71.18,58.6,50.48
54,144.0,229.33,46.9,100.0,93.8,98.82,35.2,77.32,152.3,69.02,82.0,58.08
55,146.67,232.0,93.8,100.0,46.9,94.89,35.2,74.15,152.3,63.69,82.0,62.83
56,149.33,234.67,93.8,100.0,46.9,88.78,35.2,69.57,82.0,64.96,152.3,57.97
57,152.0,237.33,93.8,100.0,46.9,83.14,82.0,65.37,35.2,64.85,152.3,52.71
58,154.67,240.0,93.8,100.0,46.9,78.33,82.0,64.53,35.2,60.17,105.5,51.01
59,157.33,242.67,93.8,100.0,46.9,74.15,82.0,62.54,35.2,55.65,105.5,50.73
60,160.0,245.33,93.8,100.0,46.9,70.25,82.0,59.53,35.2,51.41,105.5,49.94
61,162.67,248.0,93.8,100.0,46.9,66.73,82.0,55.79,105.5,48.68,35.2,47.27
62,165.33,250.67,93.8,100.0,46.9,63.64,82.0,52.01,105.5,47.44,35.2,43.27
63,168.0,253.33,93.8,100.0,46.9,60.96,82.0,49.05,105.5,46.91,35.2,39.54
64,170.67,256.0,93.8,100.0,46.9,58.62,82.0,47.49,105.5,47.47,58.6,37.57
65,173.33,258.67,93.8,100.0,46.9,56.32,105.5,48.95,82.0,47.19,58.6,39.86
66,176.0,261.33,93.8,100.0,46.9,54.03,105.5,51.26,82.0,47.91,58.6,41.21
67,178.67,264.0,93.8,100.0,105.5,53.94,46.9,51.5,82.0,48.98,140.6,43.94
68,181.33,266.67,93.8,100.0,105.5,56.24,82.0,49.69,46.9,48.35,140.6,46.68
69,184.0,269.33,93.8,100.0,105.5,57.64,82.0,49.57,140.6,48.94,152.3,46.06
70,186.67,272.0,93.8,100.0,105.5,58.27,140.6,50.8,175.8,49.86,152.3,49.01
